category,type,name,text,action,nextCategory,mental
mt,대사,대학친구1,뭘 MT 가지고 긴장하냐?,,,
mt,대사,대학친구1,그리고 몇 번 동아리 나가보면서 친해졌잖아. 다들 좋으시던데.,,,
mt,대사,나,"그냥 단체로 자는게 익숙하지가 않아서, 술취해서 진상부리진 않겠지?",,,
mt,대사,대학친구1,걱정마라 너가 술취하면 내가 재워줄께.,,,
mt,알림,,(실없는 얘기를 하면서 MT출발 집합장소로 모이는 나과 절친. 집합장소에는 동아리 학생들이 기다리고 있었다.),,,
mt,대사,나,안녕하세요.,,,
mt,대사,대학친구1,안녕하세요.,,,
mt,대사,동아리장,어 왔어? 곧 출발할거야.,,,
mt,대사,나,네 알겠습니다.,,,
mt,알림,,"(잠시 후에, 예약버스가 도착하고 나과 일행은 동아리 MT장소로 출발하기 시작했다.)",,,
mt,알림,,/-메인 이벤트 발생/-,,,
mt,알림,,동아리 MT 게임.,,,
mt,알림,,"동아리에서 단체로 놀러가는 MT에서 일어나는 게임. 여러가지 종류의 게임이 존재하고, 적절한 고유게이지를 통해서 게임을 수행하고, 결과에 따라 멘탈지수에 영향이 간다.",,,
mt,알림,,(동아리로 가는 버스에서 나는 별말없이 잠만 자다 숙소에 도착했다.),ToMT,,
mt,대사,대학친구1,대학친구1: 야 술 적당히 마시면서 하자고.,,,
mt,알림,,(나와 그 일행들은 적당히 짐 정리를 한다.),,,
mt,대사,동아리원, 얘들아 술가져와라.,,,
mt,알림,,(술은 좋은 대화수단이다. 술이 들어가면 서로간의 대화를 편하게 진행한다.),,,
mt,대사,동아리장,오랜만에 술게임이나 할까? 신입들도 왔는데.,,,
mt,대사,동아리원,오 술게임 좋은데? 니들 잘할 수 있지?,,,
mt,알림,,(1학년때 많이 해본 술게임이다. 나는 자신있다.),,,
mt,대사,나,좋죠. 많이 해봤습니다.,,,
mt,끝,,,StartMiniGame,,
,,,,,,
randomGame,대사,학생들,마셔라! 마셔라~ 마셔라! 마셔라~,,,
randomGame,대사,학생들,술이 들어간다! 쭉 쭉쭉쭉~!,,,
randomGame,대사,학생들,다음 게임 가자~! 랜덤~게임!,,,
randomGame,대사,학생들,무슨~게임! 게임~스타트!,,,
randomGame,끝,,,StartNextGame,,
,,,,,,
afterMiniGame,대사,나,으어어….,,,
afterMiniGame,알림,,(술게임이 길어지자 다들 한두명씩 나가 떨어진다. 벌써 자고있는 사람들도 몇몇 보인다.),,,
afterMiniGame,대사,나,아 더이상 못마시겠다…,,,
afterMiniGame,알림,,(시간이 지나자 다들 그만하자는 분위기이다. 이렇게 밤이 지나갔다.),,,
afterMiniGame,알림,,"(다음날, 다들 늦잠을 자고 일어났다.)",,,
afterMiniGame,대사,,동아리장 : 다들 이제 슬슬 가자. 어젯밤에 토한 인원 없지?,,,
afterMiniGame,대사,,동아리원 : 없습니다. 다들 적당히 마시던데요.,,,
afterMiniGame,대사,,동아리장 : 좋아. 곧 버스 오니까 다들 짐 정리 다하고,,,
afterMiniGame,대사,나,드디어 끝났네. 술만 마시면 다음날이 너무 힘들어.,,,
afterMiniGame,알림,,(돌아오는 버스안에서는 다들 조용했다.),ToRoad,,
afterMiniGame,대사,나,하.. 힘들다. 뭔가 그냥 오늘 아무것도 하지말자.,,,
afterMiniGame,알림,,"(그 후, 시간은 빠르게 지나갔다. 나는 동아리 활동에 익숙해지고 학업도 그럭저럭 해나갔다.)",ToRoom,,
afterMiniGame,대사,나,하루하루가 왜 이렇게 빨리 지나가지?,,,
afterMiniGame,대사,대학친구1,야 그건 네가 맨날 놀아서 그렇지.,,,
afterMiniGame,대사,나,그런데 너도 나랑 같이 놀잖아.,,,
afterMiniGame,대사,대학친구1,ㅇㅇ 그래서 나도 시간 빨리 지나감.,,,
afterMiniGame,대사,나,넌 좋겠다. 마음 편해서.,,,
afterMiniGame,대사,대학친구1,욕심을 버리면 돼.,,,
afterMiniGame,대사,나,그게 말처럼 쉽냐….,,,
afterMiniGame,알림,,(나는 요즘 삶이 힘들었다. 자신의 앞에 놓인 험난한 길이 무서웠다. 아무것도 이루지 못할 것 같은 자신이 싫었다.),,,
afterMiniGame,대사,나,"이대로는 안되는데, 1학년때처럼 지내다가는 큰일난다. 뭐라도 해야해.",,,
afterMiniGame,대사,나,"당장 곧 시험인데, 공부도 집중안되고 미치겠네.",,,
afterMiniGame,알림,,(나는 공부를 하는둥 마는둥 한다.),,,
afterMiniGame,대사,대학친구1,야 요즘 왜 그러냐? 많이 힘들어 보인다. 피방이나 가실?,,,
afterMiniGame,선택지2,,간다,,pc_go,
afterMiniGame,선택지2,,안 간다,,pc_dontGo,
,,,,,,
pc_go,알림,,"(나는 친구들과 피씨방에 가지만, 마음은 계속 불편하다.)",ToPCRoom,,
pc_go,알림,,멘탈지수 소폭하락,,,-10
,,,,,,
pc_dontGo,대사,나,"아니, 오늘 별로 가기 싫네.",,,
pc_dontGo,대사,나,"그냥, 뭘 해야 할거 같은데 하기는 싫고 편하게 살고 싶은데 그건 힘들고…",,,
pc_dontGo,대사,대학친구1,야 원래 지금 시기가 제일 힘든 시기야. 너 방금 힘들지 않은 시기가 없다고 생각했지?,,,
pc_dontGo,알림,,(나는 말을 꺼내려다가 말문이 막힌다. 친구는 계속 말하기 시작한다.),,,
pc_dontGo,대사,대학친구1,"야. 대학오기 전까지 그렇게 열심히 고생했는데, 막상 대학 오니까 별로 바뀐것도 없어.",,,
pc_dontGo,대사,대학친구1,"물론 그때와 다르게 성인이고, 바뀐 것도 분명히 있겠지. 하지만, 압박감이 짓누르고 있잖아.",,,
pc_dontGo,대사,대학친구1,"뭘 해도 끝이 안보이는 일들이나, 미래에 대한 막막함, 잃어버린 자신감 안그래?",,,
pc_dontGo,알림,,(나는 갑자기 진지해진 친구를 깜짝 놀란듯이 바라본다.),,,
pc_dontGo,대사,나,갑자기 왜 이러냐? 2학년되더니 너도 이상해졌냐?,,,
pc_dontGo,대사,대학친구1,아니야. 난 별로 바뀐게 없는데? 바뀐건 너잖아?,,,
pc_dontGo,대사,나,……..,,,
pc_dontGo,대사,대학친구1,사람은 원래 지금 이 순간이 제일 힘들어. 남이 하는게 원래 제일 편해보인다고 하잖아?,,,
pc_dontGo,대사,대학친구1,그런데 그렇게 걱정만 하다가는 끝이 없어 친구야.,,,
pc_dontGo,대사,대학친구1,지금이 너무 힘들면 잠시 부담감을 내려놓고 아주 작은 일부터 천천히 해보는게 어떨까?,,,
pc_dontGo,대사,나,………난 솔직히 깜짝 놀랐다.,,,
pc_dontGo,알림,,(나는 피방빌런이 이런 말을 할 수 있을지 몰랐다. 친구를 다시 돌아보게 되었다.),,,
pc_dontGo,대사,대학친구1,지금이 진짜 좋을 때다. 항상 지금이 인생의 황금기라고 생각하면서 살라고.,,,
pc_dontGo,대사,대학친구1,남이랑 비교하면서 스스로 인생을 망치지마. 아무도 네 인생 안살아줘. 너가 나이라고.,,,
pc_dontGo,대사,나,…..고맙다 친구야.,,,
pc_dontGo,알림,,(나는 친구의 말을 듣고 자신을 다시 돌아보게 되었다.),,,
pc_dontGo,알림,,멘탈지수 소폭상승,,,10
pc_dontGo,대사,나,이때까지가 만족스럽지 못하면 이제라도 바꾸면 되지.,,,
pc_dontGo,알림,,(변함없이 시간은 흐른다. 하지만 지금까지와는 다르게 나는 심경의 변화가 있는 듯하다.),,,
pc_dontGo,대사,나,스스로 불행하게 살지말자고.,,,
pc_dontGo,알림,,(나는 아주 작은 일부터 서서히 달라질 것이다.),,,
pc_dontGo,대사,나,지금까지 항상 바쁘게만 살아왔잖아. 조금은 돌아볼 시간이 필요하다고.,,,
pc_dontGo,알림,,(나는 진지하게 시험공부를 하였다.),,,
pc_dontGo,대사,대학친구1,야 시험 잘쳤냐? 괜찮았어?,,,
pc_dontGo,대사,나,야 나 진짜 열심히 한거 같아. 잘친듯?,,,
pc_dontGo,대사,대학친구1,ㅋㅋ 그래? 그럼 오늘 오랜만에 피방이나 갈까?,,,
pc_dontGo,대사,나,오 그래. 가자.,,,
pc_dontGo,알림,,(나는 피씨방에서 게임을 해도 평소와 같은 그런 찝찝한 기분이 들지 않았다.),,,
pc_dontGo,알림,,(아마 스스로 열심히 했다는 무의식에서 기분이 좋은 듯하다.),,,
